Query,Number of Overlap,Percent Overlap,Spearman Coefficient
Query1,4,40.00,0.800
Query2,2,20.00,-1.000
Query3,2,20.00,-1.000
Query4,2,20.00,-1.000
Query5,1,10.00,0.000
Query6,4,40.00,1.000
Query7,2,20.00,1.000
Query8,3,30.00,-1.000
Query9,0,0.00,0.000
Query10,5,50.00,-0.300
Query11,6,60.00,0.714
Query12,3,30.00,1.000
Query13,7,70.00,0.714
Query14,3,30.00,1.000
Query15,2,20.00,1.000
Query16,2,20.00,-1.000
Query17,3,30.00,-1.000
Query18,1,10.00,0.000
Query19,5,50.00,0.500
Query20,2,20.00,-1.000
Query21,2,20.00,1.000
Query22,0,0.00,0.000
Query23,3,30.00,0.500
Query24,4,40.00,0.400
Query25,3,30.00,0.500
Query26,5,50.00,0.600
Query27,0,0.00,0.000
Query28,3,30.00,0.500
Query29,1,10.00,0.000
Query30,2,20.00,-1.000
Query31,3,30.00,0.500
Query32,1,10.00,0.000
Query33,2,20.00,1.000
Query34,5,50.00,-0.900
Query35,0,0.00,0.000
Query36,3,30.00,0.500
Query37,3,30.00,0.500
Query38,5,50.00,-0.500
Query39,3,30.00,1.000
Query40,0,0.00,0.000
Query41,3,30.00,-0.500
Query42,3,30.00,-1.000
Query43,4,40.00,-0.600
Query44,1,10.00,0.000
Query45,1,10.00,0.000
Query46,4,40.00,0.800
Query47,1,10.00,0.000
Query48,1,10.00,0.000
Query49,2,20.00,1.000
Query50,2,20.00,1.000
Query51,4,40.00,0.800
Query52,3,30.00,0.500
Query53,3,30.00,-1.000
Query54,0,0.00,0.000
Query55,1,10.00,0.000
Query56,2,20.00,1.000
Query57,2,20.00,-1.000
Query58,0,0.00,0.000
Query59,1,10.00,0.000
Query60,1,10.00,0.000
Query61,4,40.00,-0.800
Query62,8,80.00,-0.048
Query63,5,50.00,-0.900
Query64,4,40.00,0.400
Query65,4,40.00,0.400
Query66,3,30.00,0.500
Query67,2,20.00,1.000
Query68,5,50.00,0.200
Query69,2,20.00,1.000
Query70,3,30.00,0.500
Query71,1,10.00,0.000
Query72,3,30.00,1.000
Query73,3,30.00,0.500
Query74,0,0.00,0.000
Query75,5,50.00,-0.600
Query76,2,20.00,1.000
Query77,5,50.00,0.600
Query78,4,40.00,0.600
Query79,3,30.00,-0.500
Query80,1,10.00,0.000
Query81,2,20.00,-1.000
Query82,2,20.00,-1.000
Query83,2,20.00,-1.000
Query84,0,0.00,0.000
Query85,3,30.00,1.000
Query86,4,40.00,0.800
Query87,3,30.00,-0.500
Query88,1,10.00,0.000
Query89,3,30.00,1.000
Query90,1,10.00,0.000
Query91,4,40.00,0.000
Query92,0,0.00,0.000
Query93,4,40.00,-0.200
Query94,5,50.00,0.900
Query95,1,10.00,0.000
Query96,1,10.00,0.000
Query97,1,10.00,0.000
Query98,3,30.00,1.000
Query99,0,0.00,0.000
Query100,0,0.00,0.000
Average,3,25.30,0.119
